Autor;Data;Polecam;Opinia;Liczba Gwiazdek;Pomocna;Niepomocna
  Janek            ;7 miesięcy temu;Polecam;Urządzenie proste w podłączeniu i pierwszym uruchomieniu. Praktycznie nie wymaga przygotowań. PS3 / PS4 rozpoznaje bez trudu. Przy podłączeniu do PC należy ściągną aplikację z netu.;4,5;0;0
  Domino            ;5 miesięcy temu;Polecam;Bardzo dobrze wykonana kierownica, polecam do takich gier jak ETS 2 lub OMSI. Jedyny minus to brak w zestawie skrzyni biegów, ale da się żyć bez niej. Polecam.;4,5;0;0
  Pinto            ;3 lata temu;Polecam;Wszystko jest ok to świetna kierownica ale niezbyt różni się od starszych/tańszych modeli które już są perfekcyjne.;4;1;3
  Arni            ;5 miesięcy temu;;Za tą kase przeciętna. Force feedback działa, ale nadal jest nieco martwy na środku i sa po prostu lepsi. Hałaśliwa praca przy wjeździe w tarki albo podczas jazdy po luźnej nawierzchni. Koło estetyczne, ale małe. Guzików sporo. Dobre pedały, ale na małe stopy: wąsko rozstawione. Za 1200zl wolę chyba produkt konkurencji(T150 pro poniżej 1000zł a promo za 900, lub dołożyć do T300 z 3 pedałami, lub T300 z dwoma pedałami na początek), chyba, że będzie kosztować maks 999 zł, wtedy ma sens. Opcjonalny shiter to zabaweczka. Logitech odpuścił temat, a konkurencja odjechała;3;1;2
  racesim            ;3 lata temu;;Jest to G27 w nowej szacie:  FF , sterowanie , głośność działania te same. Zdecydowanie nie jest wart 1600pln. Tym bardziej , że shifter jest do kupienia osobno czyli robi się 1850zł. Obecnie prawie nikt tego nie kupuję bo po co skoro jest to samo co w g27? Jedyne co posiada to kompatybilność z Playstation.;3;12;9
  Gniewko            ;5 miesięcy temu;Nie polecam;Kierownice zakupiłem w EMAG (dawniej Agito). Nie posiada polskiej wtyczki do gniazdek, jest za to brytyjska... Kierownica pracuje głośniej od g27. Jest od niej mniej wytrzymywała bo po wyjęciu z pudełka okazało się, że cały blok kierownicy się porusza. Po godzinie gry przy obracaniu w lewo zaczął wydobywać się nieprzyjemny piskliwy dźwięk. Zacząłem szukać informacji w necie. Okazało się, że wielu ludzi ma podobny problem. Śruby mocujące blok kierownicy wewnątrz obudowy luzują sie z powodu drgań. Jeśli nowa kierownica na gwarancji godzinę po uruchomieniu stwarza takie problemy to boję się tego co stanie się za rok... Dlatego zwróciłem produkt do sklepu po 2 dniach. W porównaniu do g27 to ogromna przepaść jakościowa. Zraziłem się do tego produktu ifirmy Logitech. Kierownicę g27, którą miałem 3 lata i która to po tym czasie działała lepiej od nowej g29 sprzedałem po to by kupić g29. Czemu? Dlatego, że chciałem pograć soebie na vr i kierownicy. Niestety Logitech we współpracy z Sony blokuje możliwość korzystania na konsoli PS4 z innych kierownic i trzeba kupić dedykowaną g29, która jak się okazuje jest totalnym badziewiem, a innej alternatywy nie ma. ODRADZAM ZAKUP G29.;2;0;0
  Ma...            ;3 lata temu;Nie polecam;Niewielka zmiana względem dużo starszych modeli jak G25/27. Gdyby nie to że jako jedyna z kierownic Logitecha jest kompatybilna z PS4 nigdy bym jej nie kupił. Na dodatek w zestawie brakuje dżwigni zmiany biegów którą trzeba dokupić osobno co za te pieniądze jest skandaliczne. ;2;24;8
  Kovalio            ;3 lata temu;Nie polecam;Ze względu na braki w wyposażeniu (zmiana biegów) względem poprzedniej prawie identycznej wersji kierownica warta max 1000zł (plus koszt drążka zmiany biegów). Niestety kierownica powstała tylko po to aby działać z PS4 za co Logitech zażyczył sobie dużo wyższą cenę. 
 Za te pieniądze nie warto - lepiej kupić G27 do PC/PS3 a na PS4 póki co grać na padzie aż cena spadnie do rozsądnych wartości.;1;4;8
  serwis            ;2 lata temu;Nie polecam;Słaba jakość potencjometrów w pedałach,szybko się zużywają powodując brak precyzji podczas ich naciśnięciu.Identyczny problem jest z manetkami od skrzyni biegu a dokładnie z mikrostykami które również ulegają szybkiemu zużyciu,biegi potrafią przeskakiwać np:zamiast z 1 na 2 to z 1 na 3 przeskakuje itd.Płyta główna też słabej jakości,ścieżki się wyłamują przy serwisie jak w DFGT. 
  
 Skończy się gwarancja to kierownice logitecha padają jak muchy.Przy cenie 1200zł nie polecam ani na konsole ani na PC-a.Na zewnątrz ładna w środku złom.;0,5;2;4
  Robert            ;7 miesięcy temu;Nie polecam;Kierownicę kupiłem niespełna 2 miesiące temu, na początku było wszystko fajnie ale w niektórych grach force feedback przy kontrach jakby przeskakiwał na zębatkach. Na początku myślałem że tak a być i nie brałem tego sobie od głowy. Z czasem problem z tym zaczął pojawiać się w innych więc oddałem miesięczną kierownicę na gwarancję. Czekałem na nią 22 dni. Logitech oczywiście stwierdził że wszytko jest w porządku a ja zostałem z kierownica z defektem. Nie polecam firmy i sprzętu;0,5;1;0
